session_id,doctor_id,day_of_week,start_time,end_time,slot_minutes
eb6f8045-417d-49e1-ab03-ca8c91d8b625,DOC_4027,Tuesday,08:00,12:00,10
1ad236a4-6af8-44fc-9884-1e8b9ba7f851,DOC_4210,Tuesday,08:00,12:00,10
635823b4-7eb5-4385-8a9c-c61ab41f2c79,DOC_3179,Monday,08:00,12:00,20
4dccb481-c8cd-4796-939c-8b4c563bae85,DOC_3112,Friday,08:00,12:00,10
e8c716d5-6fc0-4008-a1e5-745f7c283dc5,DOC_3962,Sunday,08:00,12:00,10
cf0235a7-0b3e-4b02-a839-876764e8fc21,DOC_1295,Monday,08:00,12:00,10
1f8e1ced-984c-42dc-8ac4-56e4a80821c6,DOC_8329,Wednesday,08:00,12:00,20
5c6d0de8-1f9d-4739-994c-75252fff363f,DOC_352,Thursday,08:00,12:00,15
26ba32b0-ccd2-4e2a-894a-dc1f2d0e8923,DOC_4123,Friday,08:00,12:00,20
d7fc47e4-925e-468a-9fa4-47f74e665184,DOC_5299,Wednesday,08:00,12:00,20
8146537c-0bc5-4897-b944-57fe92b075f9,DOC_8162,Wednesday,08:00,12:00,15
dc771a32-1944-46c0-a490-c6776a519f30,DOC_2187,Saturday,08:00,12:00,15
7501ab1e-2d27-4ee8-bb21-8c01c2c9d2f4,DOC_5825,Tuesday,08:00,12:00,20
6363b7c6-5b98-4a33-a85a-ed99bf49338d,DOC_6434,Monday,08:00,12:00,15
b9f01f5c-6e8f-45fa-a5f8-982028e20e32,DOC_1226,Wednesday,08:00,12:00,10
5bcaa1b6-53aa-4b5c-9da1-b393a3503407,DOC_6752,Friday,08:00,12:00,15
403698d2-8ef6-44ac-a62c-19fae64f69dd,DOC_4145,Wednesday,08:00,12:00,15
d9570895-97e1-476e-9cc4-3054eb46c61a,DOC_8574,Tuesday,08:00,12:00,15
82e94b78-ac34-489a-8b97-2f65bc151ade,DOC_1194,Thursday,08:00,12:00,20
33f6efe0-93a9-4c6f-8e1c-fe56bb5bcc97,DOC_8950,Tuesday,08:00,12:00,20
6f6c4ada-3b33-4c84-9c39-387284c7fe1d,DOC_8220,Thursday,08:00,12:00,20
70faa034-2bae-4eec-9b90-cf722f2f19e7,DOC_1459,Saturday,08:00,12:00,10
6cad5d78-8295-4ce9-a699-e091132754bc,DOC_5377,Wednesday,08:00,12:00,15
ec975586-9022-49d7-a3f4-2a78cf6f5fe6,DOC_6951,Friday,08:00,12:00,15
eecf414b-7870-4296-8a04-bc6c95c7c039,DOC_4055,Saturday,08:00,12:00,10
1d3faab9-2776-4a1d-ba87-77aad303d8b0,DOC_8891,Saturday,08:00,12:00,20
905a1580-fa9f-4566-9b84-ab7dcaa3522f,DOC_5823,Saturday,08:00,12:00,20
fb16e6a7-e455-4628-ba98-b72c7a336c2c,DOC_8802,Thursday,08:00,12:00,20
df3556ac-1f67-42ad-8859-7bbf78368ab9,DOC_4102,Monday,08:00,12:00,15
9032f783-c144-4cc6-8545-f5ddc5a0a460,DOC_8748,Tuesday,08:00,12:00,15
69298e1f-9931-45d1-91c6-e857887a5cc3,DOC_6342,Monday,08:00,12:00,20
7d8338a3-5451-468e-be00-36c44a811055,DOC_2010,Friday,08:00,12:00,20
7cb4e81c-4cd9-4126-9c44-2cb87d303210,DOC_9555,Monday,08:00,12:00,20
9941949f-f0ff-4400-aaa5-ce22114bc231,DOC_7081,Tuesday,08:00,12:00,15
fef67e7f-2d42-4b7e-b70f-43cb044e2814,DOC_6957,Friday,08:00,12:00,15
5094d8ac-f62f-4df8-b10c-d1214be5c040,DOC_7710,Thursday,08:00,12:00,20
cdb56c80-16c0-44b6-988e-c8ae8ab924fd,DOC_2755,Friday,08:00,12:00,10
22f57a3f-f639-4e08-b699-aa51b2fa68b4,DOC_6445,Sunday,08:00,12:00,20
d8303044-48a8-4fc5-b842-91ff4b1d278f,DOC_8793,Wednesday,08:00,12:00,10
d3662313-8e97-46c1-97eb-d2553b8002b6,DOC_7072,Friday,08:00,12:00,15
6d304f9a-19a1-4232-93b0-47126e752dcc,DOC_1916,Thursday,08:00,12:00,20
d1c28229-f684-49cd-87ea-7acb41a4fc86,DOC_7497,Tuesday,08:00,12:00,15
14326242-513d-49dd-bb31-199f8fba482b,DOC_7888,Friday,08:00,12:00,20
4087db58-5ec0-4e14-b08e-76843783794b,DOC_9933,Monday,08:00,12:00,10
421d9e9a-3ce8-4f1a-97ce-9fd8458d3b02,DOC_65,Tuesday,08:00,12:00,20
fd952a5c-099e-48e1-8e26-0cb3075c7a6c,DOC_8102,Sunday,08:00,12:00,10
caeee58b-a34e-4771-8dda-46edcc51aeb5,DOC_9941,Sunday,08:00,12:00,10
7514a6f7-66ec-4840-8251-b581b4554081,DOC_5126,Sunday,08:00,12:00,20
3417b4ae-4484-45a4-9cc6-d143e03f7510,DOC_2085,Sunday,08:00,12:00,10
e4bc7578-0544-4825-a77a-982a3914a2d1,DOC_3079,Friday,08:00,12:00,20
1400dea7-6c92-4d8f-af6a-f961c6c86bd1,DOC_7442,Tuesday,08:00,12:00,10
92984c87-ad63-4c4e-bcec-c2bae1ceed50,DOC_2108,Monday,08:00,12:00,15
de7383a5-ea9c-4ed5-81c8-3b4072a119b2,DOC_1233,Friday,08:00,12:00,10
06d94931-4cbe-4947-9e2e-47d0cb39d237,DOC_4490,Wednesday,08:00,12:00,20
883a29e8-6c56-47a7-8b2a-2f67c283c528,DOC_6271,Tuesday,08:00,12:00,15
01c56af6-28e9-43b8-a369-f838e339e65a,DOC_4435,Thursday,08:00,12:00,20
c48f9f4c-ca39-473c-ae00-4ae7246b6f48,DOC_2997,Tuesday,08:00,12:00,10
8f822c3e-abd8-4722-941e-cc0df62d842c,DOC_1538,Thursday,08:00,12:00,15
c651ec40-46be-4f53-9031-88f3192dfa46,DOC_6964,Thursday,08:00,12:00,10
15227596-2f3a-49a1-8ff4-ac4ab0ac4951,DOC_3864,Friday,08:00,12:00,10
2aa4cffa-0bcc-4916-ae18-01a708bf06e5,DOC_5781,Monday,08:00,12:00,20
b548fc2c-2280-44e0-8a02-571e2feac294,DOC_2551,Wednesday,08:00,12:00,10
687b9314-78c4-4459-82f7-d8bc8174debb,DOC_2155,Thursday,08:00,12:00,10
4497d9ea-b093-47e8-b5b2-344c3c98a155,DOC_5293,Tuesday,08:00,12:00,20
019471a2-daba-454e-afe3-90630f02bd76,DOC_8823,Monday,08:00,12:00,15
7d9927e1-f147-49de-9c78-dacc3a6ef3bd,DOC_238,Tuesday,08:00,12:00,10
f999079e-6f60-40ff-9bc9-6b2c4b6e115b,DOC_8103,Wednesday,08:00,12:00,15
198e45be-0464-4677-9d08-7a9ff7819c49,DOC_9754,Sunday,08:00,12:00,20
45eb436b-95e5-43e1-b58d-6b74c81e07b8,DOC_4651,Monday,08:00,12:00,20
ee360f3b-565f-4ee2-acec-e82faf28194e,DOC_4484,Tuesday,08:00,12:00,10
ea7558bb-c71f-4eb9-a159-8c0ff38f0da1,DOC_2313,Wednesday,08:00,12:00,20
e1034bfa-9ac2-4460-817b-e96a043a48b6,DOC_4875,Tuesday,08:00,12:00,15
d57b7e02-98e3-4b94-8db7-6d07e2847ea9,DOC_808,Thursday,08:00,12:00,15
57c2351d-9161-464e-9c04-14f4fc27c9d7,DOC_6047,Monday,08:00,12:00,20
14982e70-eb06-4858-9905-2a40fd60c339,DOC_9835,Tuesday,08:00,12:00,20
7a5cffd4-4306-43d1-934b-e14c8b65ae7f,DOC_4043,Tuesday,08:00,12:00,20
980b5150-7041-47b5-a12b-8abe1e14ef34,DOC_887,Sunday,08:00,12:00,20
90bbecde-ff33-4e25-b5f2-07fbddd77f19,DOC_9258,Friday,08:00,12:00,15
d276dd60-4b98-4b38-ad98-72aefdf0ffb0,DOC_401,Tuesday,08:00,12:00,15
975855ba-b66f-4d37-a608-ce3094c52d2d,DOC_4421,Monday,08:00,12:00,15
d04e2ca8-d3ff-40c5-80bc-e03b77a55a11,DOC_3314,Monday,08:00,12:00,10
34aac476-56d8-4fc2-8ab8-20cb2b4da781,DOC_198,Thursday,08:00,12:00,15
c7009d3c-5157-443c-ae88-8c9bf0231a8f,DOC_1577,Saturday,08:00,12:00,20
6a4f6db1-f78b-46a5-8d3e-411b003fda22,DOC_2850,Tuesday,08:00,12:00,20
aff1e22d-9bbf-4181-b35e-93e40c3888cd,DOC_5383,Saturday,08:00,12:00,20
0f5359f9-1cd6-45ff-9b4f-eaa88dd858d4,DOC_3958,Tuesday,08:00,12:00,15
5e09686b-e475-46c5-b011-810c00cd05d0,DOC_7778,Saturday,08:00,12:00,20
573c2d9e-587b-440e-8563-3264b6803eb9,DOC_3615,Thursday,08:00,12:00,15
f3f8cf75-b05c-4198-a249-dedcf20e7f17,DOC_5810,Wednesday,08:00,12:00,15
0fad14cb-8cb1-439b-b882-83a382b5bdd2,DOC_7223,Thursday,08:00,12:00,10
05fadf33-4f7f-488f-988e-33979d66e171,DOC_7170,Tuesday,08:00,12:00,15
8d79b49e-87a4-4d4f-b1d9-d21ded44183c,DOC_5849,Thursday,08:00,12:00,10
a4e86f11-3f96-4075-810a-dcfaf80b0f14,DOC_5531,Wednesday,08:00,12:00,15
b7075c5d-1e30-4cdf-bc7a-64564847e8f1,DOC_9133,Monday,08:00,12:00,15
944bd20f-8e1a-402c-8f3a-2e3572cbfc8c,DOC_7671,Monday,08:00,12:00,10
5cbab6ed-fbf5-41b8-b2c7-c57fe4077258,DOC_6384,Thursday,08:00,12:00,15
ab9e0972-4e72-45a2-a38f-bff18659e60a,DOC_1733,Wednesday,08:00,12:00,20
49f97e8c-0fe1-45dd-a91e-b766374a6b0e,DOC_4048,Friday,08:00,12:00,10
262f3ded-afa1-469c-a5e3-498fb6c46c57,DOC_9456,Saturday,08:00,12:00,10
898226ee-1ae5-48f9-86f2-5469e814f9a5,DOC_9949,Wednesday,08:00,12:00,10
fcabcd27-0737-45a8-8164-9aa7a7fece4f,DOC_7581,Saturday,08:00,12:00,10
f8f6eb51-fd62-4528-abb4-565504dab08d,DOC_2275,Monday,08:00,12:00,15
a986386b-90dd-4a3a-9f6c-b4b25d779efa,DOC_965,Saturday,08:00,12:00,10
04451403-a53f-42b6-8a09-4d645f2c1270,DOC_3403,Wednesday,08:00,12:00,10
40c0c881-07ed-45ba-9e02-5c0a832b3411,DOC_4089,Friday,08:00,12:00,10
eff0e5d7-b541-4e12-90eb-d0ffeeb41864,DOC_7155,Tuesday,08:00,12:00,15
200fec99-48c0-4b63-8c9a-7496c20ddba1,DOC_8841,Friday,08:00,12:00,20
22917bc5-bb34-4f65-9144-8e3344ee0806,DOC_5416,Friday,08:00,12:00,10
dae54c90-97f6-4239-811b-a8225a0b0d44,DOC_4719,Sunday,08:00,12:00,15
3acd3325-3543-4559-a953-030d917c50c6,DOC_7753,Tuesday,08:00,12:00,10
b65e9e63-3057-4f0c-9bbf-5f423cd94530,DOC_9257,Monday,08:00,12:00,10
a067aa5c-9d8a-4a91-85a5-c498db8af4eb,DOC_9880,Sunday,08:00,12:00,20
5b1dc23d-26ff-4b59-afd7-3b68d941f781,DOC_712,Tuesday,08:00,12:00,15
6a283d6b-e6a8-466c-909a-654fa137d5e6,DOC_1834,Saturday,08:00,12:00,20
83c3ccb4-d9ea-4050-a72e-a70c606ce189,DOC_1797,Tuesday,08:00,12:00,15
809d1b81-f01f-4794-a690-ae5b7cc96bcc,DOC_5680,Friday,08:00,12:00,10
742c2495-ea45-4bd2-b979-471e8279ffdf,DOC_9296,Saturday,08:00,12:00,15
9e9a3908-07dd-496b-9297-305261877cd2,DOC_5162,Thursday,08:00,12:00,20
b6a7103a-b536-4046-8c2c-c2bc2fe3425d,DOC_1435,Wednesday,08:00,12:00,10
8fb0bf01-8696-4f93-b9d3-1f12cab8b064,DOC_1381,Sunday,08:00,12:00,20
ea6e2509-dff7-4235-b867-bb29fabf0061,DOC_1468,Thursday,08:00,12:00,20
137b0a70-e1c0-4807-ad22-425d287925ec,DOC_3064,Tuesday,08:00,12:00,10
988668cf-387d-4f51-a579-d52c48329cb9,DOC_6416,Sunday,08:00,12:00,20
b07f29bd-22ec-4906-ba3d-5b05b23ea28c,DOC_5329,Friday,08:00,12:00,10
e3bd83c8-373e-4508-aa41-426b6c88a7a7,DOC_752,Monday,08:00,12:00,20
5325a57f-bbfe-45e2-83a1-1ee6c207077b,DOC_4524,Sunday,08:00,12:00,15
691a9c17-633d-4b51-82e1-d78e6180023d,DOC_3107,Thursday,08:00,12:00,15
e834ab4a-7e77-45ce-8481-b9c251eccec7,DOC_3533,Thursday,08:00,12:00,15
9caa14d8-8ce9-4eec-8aae-fd214979afc0,DOC_4754,Wednesday,08:00,12:00,10
aba494ae-d592-4143-ac6b-969dbe586f4b,DOC_2628,Saturday,08:00,12:00,20
3f9c6c8f-f402-4132-ba60-70383fc5e0fc,DOC_6856,Friday,08:00,12:00,10
eb186ec1-0078-4256-aa2e-e8c27f099d9d,DOC_4144,Tuesday,08:00,12:00,10
f6a4a022-2558-4d5a-8d5f-3a152aed71de,DOC_123,Saturday,08:00,12:00,10
ad3f98b4-6743-4ecd-a860-93ae83b1770f,DOC_7593,Saturday,08:00,12:00,10
40b7e2da-6294-432c-9b1b-a7631eebbbe6,DOC_2706,Thursday,08:00,12:00,15
9dfa279b-a3e4-46de-b15d-56eda182fbc0,DOC_8196,Tuesday,08:00,12:00,15
535724ba-ba92-428c-a2c0-4b28e9ed96d8,DOC_2576,Thursday,08:00,12:00,20
7f9c1caf-dd98-4661-8d0e-5e1f520d94c4,DOC_770,Sunday,08:00,12:00,20
7297d089-271f-43a2-b9e5-0d41696646f4,DOC_8312,Thursday,08:00,12:00,20
e698af13-8a3f-4550-b451-b6705ae34955,DOC_5237,Saturday,08:00,12:00,15
0172b8fc-51b6-4712-9518-4da68d62ce41,DOC_1744,Monday,08:00,12:00,20
221aecaf-0ab4-4014-a593-ebeae1e54b48,DOC_3577,Tuesday,08:00,12:00,20
ca2ea5a2-e9ac-4ecc-b610-7ea85304dcff,DOC_6098,Tuesday,08:00,12:00,10
3f9c70f2-d40b-49bf-90e1-dc7904234fa1,DOC_234,Monday,08:00,12:00,20
fd84503e-42b2-4339-8d48-8271cbd3a49c,DOC_711,Monday,08:00,12:00,20
d975b12c-3aa0-4188-9b3b-4f43aa2c6c87,DOC_6931,Tuesday,08:00,12:00,20
ea70d7c4-09fa-43d0-8667-2917fb563875,DOC_2303,Wednesday,08:00,12:00,20
31d2b40d-eb71-4b54-9352-f679f212d330,DOC_6949,Saturday,08:00,12:00,15
1fc47f8f-2836-41ee-bb58-7dafc103c981,DOC_7307,Wednesday,08:00,12:00,15
3cb03a08-4072-4fcf-b171-780a2ef6d0e0,DOC_6595,Wednesday,08:00,12:00,20
0fff9d67-cf19-43a5-bfc0-3b51be496b36,DOC_6770,Monday,08:00,12:00,15
